variable,index,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
case,f1-score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case,support,41474.0,40174.0,40716.0,40745.0,39869.0,40138.0,40519.333333333336,530.5021729979582
code,f1-score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code,support,26517.0,26130.0,26046.0,25993.0,26077.0,26042.0,26134.166666666668,176.08844053170807
reg,f1-score,0.5592184167363583,0.5584384448381038,0.5563456094416608,0.5572700375475979,0.5598200459229989,0.5592290170900324,0.5583869285961253,0.0012159628735667555
reg,precision,0.38813545594442095,0.3873843907937652,0.3853731288320966,0.38626080559131876,0.38871534375840044,0.3881456690365467,0.38733579899275816,0.001169653126956465
reg,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
reg,support,43130.0,41927.0,41860.0,42002.0,41935.0,41983.0,42139.5,445.26873907787416
all,f1-macro,0.18640613891211943,0.18614614827936793,0.1854485364805536,0.1857566791825326,0.18660668197433297,0.18640967236334413,0.1861289761987084,0.00040532095785558584
